,mean,std
Att01_id01,0.834,.009
Att01_id02,0.841,.008
Att01_id03,0.844,.007
Att01_noBtNk01,0.831,.009
Att01_noBtNk02,0.838,.008
Att01_noBtNk03,0.844,.007
Att01_trans01,0.826,.010
Att01_trans02,0.824,.011
Att01_trans03,0.818,.011
Att01_trans04,0.826,.010
Att01_trans05,0.839,.008
Att01_trans05B,0.824,.010
Att01_trans06,0.840,.008
Att01_trans06B,0.826,.011
Att01_vit01-01,0.826,.009
Att01_vit01-02,0.801,.021
Att01_vit02-01,0.839,.007
Att01_vit02-02,0.831,.009
Att01_vit03-01,0.844,.007
Att01_vit03-02,0.836,.007
id01,0.828,.008
id02,0.841,.006
id03,0.844,.006
noBtNk01,0.833,.009
noBtNk02,0.837,.008
noBtNk03,0.843,.007
trans01,0.815,.011
trans02,0.829,.009
trans03,0.825,.010
trans04,0.826,.009
trans05,0.835,.009
trans05B,0.828,.009
trans06,0.842,.006
trans06B,0.804,.016
vit01-01,0.823,.008
vit01-02,0.804,.020
vit02-01,0.839,.007
vit02-02,0.831,.009
vit03-01,0.843,.007
vit03-02,0.839,.008
