,mean,std
Att01_id01,0.674,.027
Att01_id02,0.682,.025
Att01_id03,0.691,.020
Att01_noBtNk01,0.664,.035
Att01_noBtNk02,0.677,.028
Att01_noBtNk03,0.678,.025
Att01_trans01,0.658,.039
Att01_trans02,0.654,.051
Att01_trans03,0.663,.038
Att01_trans04,0.653,.050
Att01_trans05,0.681,.029
Att01_trans05B,0.681,.026
Att01_trans06,0.693,.021
Att01_trans06B,0.683,.027
Att01_vit01-01,0.683,.024
Att01_vit01-02,0.668,.053
Att01_vit02-01,0.691,.021
Att01_vit02-02,0.684,.035
Att01_vit03-01,0.694,.021
Att01_vit03-02,0.687,.029
id01,0.674,.026
id02,0.682,.022
id03,0.690,.019
noBtNk01,0.666,.031
noBtNk02,0.676,.027
noBtNk03,0.684,.023
trans01,0.661,.039
trans02,0.662,.041
trans03,0.665,.035
trans04,0.661,.039
trans05,0.681,.031
trans05B,0.684,.025
trans06,0.691,.020
trans06B,0.688,.022
vit01-01,0.686,.026
vit01-02,0.661,.047
vit02-01,0.688,.025
vit02-02,0.684,.031
vit03-01,0.695,.022
vit03-02,0.695,.022
