model_name, size
nci_model_segmentation_noBtNk03_1.pth,  29.768 MB
abide_caltech_model_segmentation_Att01_noBtNk03.pth,  30.819 MB
nci_model_segmentation_trans06_2.pth,  77.927 MB
abide_caltech_model_segmentation_trans05.pth,  151.760 MB
nci_model_segmentation_trans03_0.pth,  482.379 MB
nci_model_segmentation_Att01_trans05_1.pth,  152.024 MB
acdc_model_segmentation_Att01_noBtNk01.pth,  1.992 MB
acdc_model_segmentation_Att01_trans02.pth,  962.942 MB
nci_model_segmentation_Att01_vit03-02_1.pth,  403.481 MB
acdc_model_segmentation_vit01-02_0.pth,  338.474 MB
acdc_model_segmentation_trans02.pth,  962.854 MB
nci_model_segmentation_vit03-01.pth,  366.338 MB
acdc_model_segmentation_id01.pth,  1.904 MB
nci_model_segmentation_trans06B.pth,  510.243 MB
acdc_model_segmentation_id03_0.pth,  29.770 MB
nci_model_segmentation_Att01_id03_1.pth,  30.793 MB
nci_model_segmentation_Att01_noBtNk03.pth,  30.793 MB
acdc_model_segmentation_Att01_trans06B_0.pth,  511.271 MB
nci_model_segmentation_Att01_trans04.pth,  1730.889 MB
nci_model_segmentation_vit01-02.pth,  338.474 MB
nci_model_segmentation_Att01_vit02-02_1.pth,  356.369 MB
nci_model_segmentation_trans01.pth,  962.853 MB
abide_caltech_model_segmentation_trans03.pth,  482.385 MB
nci_model_segmentation_id01.pth,  1.903 MB
abide_caltech_model_segmentation_trans04_1.pth,  1730.807 MB
abide_caltech_model_segmentation_vit03-02.pth,  402.482 MB
abide_caltech_model_segmentation_trans06.pth,  77.953 MB
nci_model_segmentation_trans06_1.pth,  77.927 MB
nci_model_segmentation_Att01_vit01-02.pth,  338.562 MB
nci_model_segmentation_vit02-02_1.pth,  356.092 MB
acdc_model_segmentation_noBtNk03_0.pth,  29.770 MB
acdc_model_segmentation_Att01_id01.pth,  1.992 MB
nci_model_segmentation_Att01_vit01-02_0.pth,  338.562 MB
nci_model_segmentation_Att01_id02_0.pth,  7.760 MB
abide_caltech_model_segmentation_noBtnk_test.pth,  978.868 MB
nci_model_segmentation_Att01_vit02-02.pth,  356.369 MB
nci_model_segmentation_trans06B_1.pth,  510.243 MB
nci_model_segmentation_Att01_vit01-02_1.pth,  338.562 MB
acdc_model_segmentation_Att01_vit01-02_0.pth,  338.562 MB
nci_model_segmentation_noBtNk01.pth,  1.904 MB
acdc_model_segmentation_vit01-02.pth,  338.474 MB
nci_model_segmentation_Att01_trans05B.pth,  1736.657 MB
acdc_model_segmentation_Att01_id03.pth,  30.795 MB
nci_model_segmentation_Att01_vit02-01.pth,  338.311 MB
nci_model_segmentation_trans05B.pth,  1736.380 MB
acdc_model_segmentation_id01_try.pth,  1.903 MB
acdc_model_segmentation_trans04_0.pth,  1730.801 MB
nci_model_segmentation_nci_id01.pth,  1.903 MB
acdc_model_segmentation_trans06B.pth,  510.246 MB
acdc_model_segmentation_Att01_noBtNk03_0.pth,  30.795 MB
acdc_model_segmentation_trans06.pth,  77.929 MB
nci_model_segmentation_id02_0.pth,  7.483 MB
abide_caltech_model_segmentation_vit01-02.pth,  338.480 MB
acdc_model_segmentation_trans05B_0.pth,  1736.381 MB
acdc_model_segmentation_trans01.pth,  962.854 MB
abide_caltech_model_segmentation_Att01_id02.pth,  7.773 MB
acdc_model_segmentation_Att01_vit03-02.pth,  403.483 MB
nci_model_segmentation_trans06B_0.pth,  510.243 MB
acdc_model_segmentation_Att01_trans05B.pth,  1736.658 MB
abide_caltech_model_segmentation_id01_0.pth,  1.910 MB
abide_caltech_model_segmentation01_id0.pth,  1.910 MB
nci_model_segmentation_Att01_trans06B.pth,  511.269 MB
nci_model_segmentation_trans01_1.pth,  962.853 MB
abide_caltech_model_segmentation_Att01_trans06.pth,  78.979 MB
abide_caltech_model_segmentation_vit03-01.pth,  366.365 MB
nci_model_segmentation_trans04_1.pth,  1730.801 MB
nci_model_segmentation_Att01_trans06_0.pth,  78.952 MB
acdc_model_segmentation_Att01_vit01-01_0.pth,  329.533 MB
nci_model_segmentation_id01_1.pth,  1.904 MB
acdc_model_segmentation_Att01_noBtNk02_0.pth,  7.761 MB
abide_caltech_model_segmentation_transFAtt_try.pth,  962.860 MB
abide_caltech_model_segmentation_Att01_noBtNk02.pth,  7.773 MB
acdc_model_segmentation_Att01_trans03_0.pth,  482.467 MB
nci_model_segmentation_vit02-01_0.pth,  338.033 MB
nci_model_segmentation_Att01_vit01-01_0.pth,  329.532 MB
nci_model_segmentation_Att01_trans06B_1.pth,  511.269 MB
acdc_model_segmentation_noBtNk02.pth,  7.484 MB
nci_model_segmentation_vit02-02_0.pth,  356.092 MB
nci_model_segmentation_noBtNk.pth,  1.903 MB
abide_caltech_model_segmentation_vit01-01.pth,  329.451 MB
abide_caltech_model_segmentation_vit02-01.pth,  338.047 MB
nci_model_segmentation_Att01_trans01_0.pth,  962.941 MB
nci_model_segmentation_Att01_trans06B_0.pth,  511.269 MB
nci_model_segmentation_vit_try.pth,  1.904 MB
acdc_model_segmentation_Att01_noBtNk02.pth,  7.761 MB
nci_model_segmentation_vit01-02_0.pth,  338.474 MB
abide_caltech_model_segmentation_trans05B.pth,  1736.393 MB
acdc_model_segmentation_trans05B.pth,  1736.381 MB
acdc_model_segmentation_Att01_trans01_0.pth,  962.942 MB
nci_model_segmentation_noBtNk02.pth,  7.483 MB
nci_model_segmentation_Att01_vit02-01_1.pth,  338.311 MB
nci_model_segmentation_Att01_id01_1.pth,  1.992 MB
nci_model_segmentation_Att01_noBtNk03_1.pth,  30.793 MB
acdc_model_segmentation_Att01_trans06_0.pth,  78.954 MB
abide_caltech_model_segmentation_transFAtt_try_0.pth,  962.860 MB
abide_caltech_model_segmentation_trans05_0.pth,  151.760 MB
nci_model_segmentation_vit03-01_0.pth,  366.338 MB
acdc_model_segmentation_Att01_vit03-01_0.pth,  367.366 MB
nci_model_segmentation_vit03-01_0_0.pth,  366.338 MB
nci_model_segmentation_id03_0.pth,  29.768 MB
acdc_model_segmentation_vit03-01_0.pth,  366.340 MB
abide_caltech_model_segmentation_noBtNk03.pth,  29.794 MB
nci_model_segmentation_Att01_vit01-01.pth,  329.532 MB
nci_model_segmentation_Att01_trans05B_0.pth,  1736.657 MB
abide_caltech_model_segmentation_trans01.pth,  962.860 MB
acdc_model_segmentation_trans05.pth,  151.748 MB
nci_model_segmentation_nci_trans02.pth,  978.861 MB
nci_model_segmentation_Att01_trans03_1.pth,  482.467 MB
nci_model_segmentation_id03_1.pth,  29.768 MB
abide_caltech_model_segmentation_trans03_0.pth,  482.385 MB
acdc_model_segmentation_Att01_trans05.pth,  152.025 MB
nci_model_segmentation_Att01_trans02.pth,  962.941 MB
acdc_model_segmentation_trans05_0.pth,  151.748 MB
abide_caltech_model_segmentation_Att01_vit03-02.pth,  403.507 MB
abide_caltech_model_segmentation_Att01_trans04.pth,  1730.895 MB
acdc_model_segmentation_trans02_0.pth,  962.854 MB
acdc_model_segmentation_Att01_noBtNk03.pth,  30.795 MB
abide_caltech_model_segmentation_Att01_vit03-01.pth,  367.390 MB
nci_model_segmentation_vit01-01_1.pth,  329.444 MB
nci_model_segmentation_vit02-01.pth,  338.033 MB
abide_caltech_model_segmentation_Att01_trans02.pth,  962.948 MB
acdc_model_segmentation_vit03-01.pth,  366.340 MB
nci_model_segmentation_Att01_trans02_1.pth,  962.941 MB
acdc_model_segmentation_Att01_trans05_0.pth,  152.025 MB
nci_model_segmentation_vit02-02.pth,  356.092 MB
